Instance_Type,Load_Type,Time,CO_MCYC,CO_ACYC,UTIL,RATIO,MHz
m7ametal,Idle,02:49:53,7437846,10571542,0%,142%,3695
m7ametal,Idle,02:49:58,3010852,4303777,0%,142%,3716
m7ametal,Idle,02:50:03,2545010,3619295,0%,142%,3697
m7ametal,Idle,02:50:08,1370590,1953027,0%,142%,3704
m7ametal,Idle,02:50:13,1998490,4843860,0%,242%,6301
m7ametal,Idle,02:50:18,2450344,1481491,0%,60%,1571
m7ametal,Idle,02:50:23,4213300,6227355,0%,147%,3842
m7ametal,Idle,02:50:28,2271126,3002167,0%,132%,3436
m7ametal,Idle,02:50:33,3941366,7581458,0%,192%,5001
m7ametal,Idle,02:50:38,2584062,1704579,0%,65%,1715
m7ametal,Idle,02:50:43,5189886,7385055,0%,142%,3699
m7ametal,Idle,02:50:48,3133806,6479427,0%,206%,5375
m7ametal,Moderate,02:50:53,8395806016,11952446803,64%,142%,3701
m7ametal,Moderate,02:50:58,13013251004,18519124134,100%,142%,3700
m7ametal,Moderate,02:51:03,13012905048,18518715625,100%,142%,3700
m7ametal,Moderate,02:51:08,13013016432,18518516854,100%,142%,3699
m7ametal,Moderate,02:51:13,13013590356,18518845113,100%,142%,3699
m7ametal,Moderate,02:51:18,13013258102,18518957947,100%,142%,3700
m7ametal,Moderate,02:51:23,13013384410,18518908521,100%,142%,3699
m7ametal,Moderate,02:51:28,13013795912,18520226812,100%,142%,3700
m7ametal,Moderate,02:51:33,13013829114,18519185061,100%,142%,3699
m7ametal,Moderate,02:51:38,13013258700,18518823063,100%,142%,3699
m7ametal,Moderate,02:51:43,13013336934,18519128504,100%,142%,3700
m7ametal,Moderate,02:51:48,13013362128,18518743830,100%,142%,3699
m7ametal,High,02:51:53,12768852694,16288744545,98%,127%,3316
m7ametal,High,02:51:58,13043821206,16574218433,100%,127%,3303
m7ametal,High,02:52:03,13054500654,16655741241,100%,127%,3317
m7ametal,High,02:52:08,13038826450,16850493004,100%,129%,3360
m7ametal,High,02:52:13,13059759752,16544020847,100%,126%,3293
m7ametal,High,02:52:18,13036284976,16504093367,100%,126%,3291
m7ametal,High,02:52:23,13044055830,16517638520,100%,126%,3292
m7ametal,High,02:52:28,13051974208,16519178303,100%,126%,3290
m7ametal,High,02:52:33,13051733136,16489374052,100%,126%,3284
m7ametal,High,02:52:38,13041548416,16495561672,100%,126%,3288
m7ametal,High,02:52:43,13051986454,16489339170,100%,126%,3284
m7ametal,High,02:52:48,13013579930,16426238621,100%,126%,3281
